src_entity_id,relation_type,des_entity_id,src_DrawX,src_DrawY,des_DrawX,des_DrawY
0,追捕,2,0.0,0.0,9.222956343514234,43.818722679794476
0,追捕,3,0.0,0.0,6.8980564639724875,298.6258292677899
0,护航,4,0.0,0.0,-257.4809790057702,97.8535540402462
0,避障,6,0.0,0.0,-39.57802891710558,-6.553936203218444
0,避障,8,0.0,0.0,-73.89268550733064,-2.705350690079611
1,追捕,2,73.67232048328661,25.466298459154814,9.222956343514234,43.818722679794476
1,护航,4,73.67232048328661,25.466298459154814,-257.4809790057702,97.8535540402462
1,追捕,5,73.67232048328661,25.466298459154814,130.03263078352438,23.705265579696604
2,护航,1,9.222956343514234,43.818722679794476,73.67232048328661,25.466298459154814
2,避障,6,9.222956343514234,43.818722679794476,-39.57802891710558,-6.553936203218444
3,追捕,1,6.8980564639724875,298.6258292677899,73.67232048328661,25.466298459154814
4,追捕,1,-257.4809790057702,97.8535540402462,73.67232048328661,25.466298459154814
4,追捕,5,-257.4809790057702,97.8535540402462,130.03263078352438,23.705265579696604
5,追捕,0,130.03263078352438,23.705265579696604,0.0,0.0
5,护航,3,130.03263078352438,23.705265579696604,6.8980564639724875,298.6258292677899
5,追捕,4,130.03263078352438,23.705265579696604,-257.4809790057702,97.8535540402462
