src_entity_id,relation_type,des_entity_id,src_DrawX,src_DrawY,des_DrawX,des_DrawY
0,护航,2,0.0,0.0,361.8993922561776,26.547551145952312
0,护航,3,0.0,0.0,-60.804440300867675,-59.63730046007674
1,追捕,5,351.6382810625638,-40.83897097559012,-131.26164389177467,82.60271529035296
2,追捕,1,361.8993922561776,26.547551145952312,351.6382810625638,-40.83897097559012
2,追捕,5,361.8993922561776,26.547551145952312,-131.26164389177467,82.60271529035296
3,护航,1,-60.804440300867675,-59.63730046007674,351.6382810625638,-40.83897097559012
3,追捕,2,-60.804440300867675,-59.63730046007674,361.8993922561776,26.547551145952312
3,追捕,5,-60.804440300867675,-59.63730046007674,-131.26164389177467,82.60271529035296
3,避障,6,-60.804440300867675,-59.63730046007674,-94.63990990504541,-44.744407441996636
4,护航,5,137.32590153235935,-270.43967111610425,-131.26164389177467,82.60271529035296
5,追捕,0,-131.26164389177467,82.60271529035296,0.0,0.0
5,追捕,3,-131.26164389177467,82.60271529035296,-60.804440300867675,-59.63730046007674
5,追捕,4,-131.26164389177467,82.60271529035296,137.32590153235935,-270.43967111610425
